,property_id,property_type,price,city,province_name,latitude,longitude,baths,bedrooms,date_added,agency,agent,Total_Area,year,month,date
4,841645,House,7000000,Islamabad,Islamabad Capital,33.492591,73.301339,3,3,2019-07-10,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,2178.008,2019,7,2019-07-01
7,1258636,Flat,7800000,Islamabad,Islamabad Capital,33.698244,72.984238,2,2,2019-05-05,Ettemad Enterprises,Balqiaz Marwat,16879.561999999998,2019,5,2019-05-01
8,1402466,House,50000000,Islamabad,Islamabad Capital,33.540894,73.095732,7,7,2018-10-19,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,5445.0,2018,10,2018-10-01
9,1418706,Penthouse,40000000,Islamabad,Islamabad Capital,33.679211,72.988787,5,5,2019-06-27,Crown Associate,Abrar Ahmed,5445.0,2019,6,2019-06-01
10,1425602,Flat,35000000,Islamabad,Islamabad Capital,33.728873,73.119628,3,3,2019-06-03,Al Sahar Estate,Zahid H. Usmani,19329.821,2019,6,2019-06-01
11,1586658,Flat,48000000,Islamabad,Islamabad Capital,33.728873,73.119628,2,2,2019-02-04,Al Sahar Estate,Zahid H. Usmani,21235.578,2019,2,2019-02-01
14,1879795,Flat,3600000,Islamabad,Islamabad Capital,33.698137,72.978215,1,1,2019-07-03,Ettemad Enterprises,Ettemad,8439.780999999999,2019,7,2019-07-01
15,1879796,Flat,5000000,Islamabad,Islamabad Capital,33.698137,72.978215,2,2,2019-05-05,Ettemad Enterprises,Ettemad,1089.004,2019,5,2019-05-01
16,1947817,House,19000000,Islamabad,Islamabad Capital,33.508481,73.091826,3,3,2019-06-20,Infinity Properties,Ali,2722.51,2019,6,2019-06-01
17,2230469,House,80000000,Islamabad,Islamabad Capital,33.541728,73.094103,7,7,2019-07-16,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,10890.0,2019,7,2019-07-01
19,2384979,Flat,1750000,Islamabad,Islamabad Capital,33.570792,73.145256,0,0,2019-06-13,Paris Real Estate & Builders,Chaudhary Naveed,4083.765,2019,6,2019-06-01
23,2682075,Flat,47000000,Islamabad,Islamabad Capital,33.728873,73.119628,2,3,2019-05-05,Al Sahar Estate,Zahid H. Usmani,22869.084,2019,5,2019-05-01
27,2883507,Flat,19400000,Islamabad,Islamabad Capital,33.713845,73.06097,1,1,2019-06-27,Crown Associate,Abrar Ahmed,11706.793,2019,6,2019-06-01
28,3098002,House,100000000,Islamabad,Islamabad Capital,33.72402,73.074524,5,5,2019-01-05,Property Syendicate,Rizwan Shafqat,48460.67799999999,2019,1,2019-01-01
29,3101600,Flat,8000000,Islamabad,Islamabad Capital,33.675604,73.000367,2,2,2019-05-05,Ettemad Enterprises,Balqiaz Marwat,18240.817,2019,5,2019-05-01
30,3166573,Flat,6300000,Islamabad,Islamabad Capital,33.698137,72.978215,3,3,2019-05-05,Ettemad Enterprises,Ettemad,14429.302999999998,2019,5,2019-05-01
31,3285142,House,220000000,Islamabad,Islamabad Capital,33.716274,73.05624,10,10,2019-01-05,Property Syendicate,Rizwan Shafqat,114345.0,2019,1,2019-01-01
34,3626467,House,230000000,Islamabad,Islamabad Capital,33.727409,73.047581,4,4,2019-06-12,Zorje Pvt Ltd,Obaid Abbasi,136125.0,2019,6,2019-06-01
35,858689,House,110000,Islamabad,Islamabad Capital,33.542039,73.093414,5,5,2018-10-20,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,5445.0,2018,10,2018-10-01
36,877435,House,600000,Islamabad,Islamabad Capital,33.720413,73.056493,6,6,2018-10-20,Nexus Estate Services,Ch Afzal/ Ch Faisal/ Ch Adeel,10890.0,2018,10,2018-10-01
43,3191268,House,900000,Islamabad,Islamabad Capital,33.730907,73.074431,8,7,2019-06-20,Zorje Pvt Ltd,Obaid Abbasi,130680.0,2019,6,2019-06-01
44,3347676,Lower Portion,200000,Islamabad,Islamabad Capital,33.724018,73.074524,3,3,2019-04-05,Property Syendicate,Rizwan Shafqat,4356.016,2019,4,2019-04-01
47,347795,House,220000000,Lahore,Punjab,31.48386866,74.3256855,0,0,2019-07-17,Real Biz International,Usama Khan,32670.0,2019,7,2019-07-01
48,482892,House,40000000,Lahore,Punjab,31.431593,74.17998,5,5,2018-10-06,Khan Estate,mohsinkhan and B,5445.0,2018,10,2018-10-01
49,555962,House,9500000,Lahore,Punjab,31.499348,74.416959,0,3,2019-07-03,Shahum Estate 2,"Babar Hameed, Raja Omar",2450.259,2019,7,2019-07-01
52,785289,House,52000000,Lahore,Punjab,31.495909,74.350569,6,5,2019-06-02,MATZ Services,Group Captain (R) Tajammul Baig,5445.0,2019,6,2019-06-01
54,983065,House,32500000,Lahore,Punjab,31.439978,74.209685,0,5,2019-07-03,Sukhera Estate & Builders,Ahmed Sheraz Sukhera,5445.0,2019,7,2019-07-01
55,983066,House,31500000,Lahore,Punjab,31.437744,74.21349,0,6,2019-07-03,Sukhera Estate & Builders,Ahmed Sheraz Sukhera,5445.0,2019,7,2019-07-01
56,983075,House,40000000,Lahore,Punjab,31.409106,74.181662,0,6,2019-07-03,Sukhera Estate & Builders,Ahmed Sheraz Sukhera,87120.0,2019,7,2019-07-01
58,1402784,House,87500000,Lahore,Punjab,31.542114,74.355898,5,4,2019-06-30,Hamza Real Estate,Imran Shahad,65340.0,2019,6,2019-06-01
59,1606710,House,16500000,Lahore,Punjab,31.500557,74.36773,0,4,2019-04-04,Rana Estate,Rana Shahzad,2722.51,2019,4,2019-04-01
60,1646880,House,18500000,Lahore,Punjab,31.381706,74.195294,0,0,2019-07-04,Punjab Associates,Ch. Tariq Ali Ranjha,2722.51,2019,7,2019-07-01
61,1794392,House,23500000,Lahore,Punjab,31.537239,74.420211,4,4,2019-06-18,Forces Properties,Khalid Saeed Khan,2722.51,2019,6,2019-06-01
65,2052081,House,27500000,Lahore,Punjab,31.533161,74.419481,5,4,2019-06-18,Forces Properties,Khalid Saeed Khan,3267.012,2019,6,2019-06-01
67,2311887,House,45000000,Lahore,Punjab,31.537239,74.420211,6,5,2019-06-18,Forces Properties,Khalid Saeed Khan,5445.0,2019,6,2019-06-01
69,2439750,House,21200000,Lahore,Punjab,31.536068,74.408666,4,3,2019-06-18,Forces Properties,Khalid Saeed Khan,2722.51,2019,6,2019-06-01
70,2439775,House,23000000,Lahore,Punjab,31.537458,74.413323,5,4,2019-06-18,Forces Properties,Khalid Saeed Khan,2722.51,2019,6,2019-06-01
71,2439785,House,21500000,Lahore,Punjab,31.53327,74.41358,5,4,2019-06-18,Forces Properties,Khalid Saeed Khan,2722.51,2019,6,2019-06-01
72,2439790,House,21500000,Lahore,Punjab,31.533161,74.419481,5,4,2019-06-18,Forces Properties,Khalid Saeed Khan,2722.51,2019,6,2019-06-01
73,2471472,House,40000000,Lahore,Punjab,31.537458,74.413323,6,5,2019-06-18,Forces Properties,Khalid Saeed Khan,5445.0,2019,6,2019-06-01
74,2471478,House,26000000,Lahore,Punjab,31.533161,74.419481,5,4,2019-06-18,Forces Properties,Khalid Saeed Khan,2722.51,2019,6,2019-06-01
75,2510609,House,21000000,Lahore,Punjab,31.537458,74.413323,4,4,2019-06-18,Forces Properties,Khalid Saeed Khan,2722.51,2019,6,2019-06-01
76,2510625,House,23000000,Lahore,Punjab,31.53327,74.41358,5,4,2019-06-18,Forces Properties,Khalid Saeed Khan,2722.51,2019,6,2019-06-01
77,2510674,House,23000000,Lahore,Punjab,31.533161,74.419481,6,5,2019-06-18,Forces Properties,Khalid Saeed Khan,2722.51,2019,6,2019-06-01
78,2747251,House,57500000,Lahore,Punjab,31.439978,74.209685,5,5,2019-04-03,Punjaab Estates,Irfan Rehman Khan,5445.0,2019,4,2019-04-01
79,2794766,House,620000000,Lahore,Punjab,31.543431,74.344225,8,8,2019-05-03,Punjaab Estates,Irfan Rehman Khan,353925.0,2019,5,2019-05-01
81,2821111,House,50000000,Lahore,Punjab,31.53842,74.352357,6,5,2019-07-03,Hamza Real Estate,Imran Shahad,5445.0,2019,7,2019-07-01
83,3051476,House,65000000,Lahore,Punjab,31.40537,74.257078,0,0,2019-06-02,Punjaab Estates,Irfan Rehman Khan,10890.0,2019,6,2019-06-01
84,3217881,House,1250000000,Lahore,Punjab,31.519435,74.345548,0,0,2019-02-03,Punjaab Estates,Irfan Rehman Khan,43560.0,2019,2,2019-02-01
86,3242351,House,66500000,Lahore,Punjab,31.400096,74.259682,0,0,2019-04-03,Punjaab Estates,Irfan Rehman Khan,10890.0,2019,4,2019-04-01
89,3341826,House,180000000,Lahore,Punjab,31.505678,74.348202,7,5,2019-07-03,Hamza Real Estate,Imran Shahad,255915.0,2019,7,2019-07-01
91,3463063,House,47500000,Lahore,Punjab,31.434668,74.214005,0,0,2019-05-03,Punjaab Estates,Irfan Rehman Khan,5445.0,2019,5,2019-05-01
92,3507838,House,17000000,Lahore,Punjab,31.530739,74.456184,5,5,2019-06-11,Valo Marketing,Nabeel Khalid Ch M Naveed Muhammad Bin Shahid,2722.51,2019,6,2019-06-01
97,3130278,House,60000000,Faisalabad,Punjab,31.372179,73.125594,6,6,2019-02-17,Ibraheem Associates,Miss Noor ul Huda,87120.0,2019,2,2019-02-01
102,843206,House,22500000,Rawalpindi,Punjab,33.560887,73.125937,5,5,2018-10-19,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,3267.012,2018,10,2018-10-01
106,1232114,House,37000000,Rawalpindi,Punjab,33.555451,73.138218,8,6,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,5445.0,2019,7,2019-07-01
107,1253008,House,23000000,Rawalpindi,Punjab,33.555594,73.133669,6,5,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,3267.012,2019,7,2019-07-01
108,1273436,House,39500000,Rawalpindi,Punjab,33.55892,73.118649,7,6,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,5445.0,2019,7,2019-07-01
109,1298962,House,21000000,Rawalpindi,Punjab,33.555451,73.138218,7,5,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,2722.51,2019,7,2019-07-01
110,1402499,House,37000000,Rawalpindi,Punjab,33.55892,73.118649,5,5,2018-10-19,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,5445.0,2018,10,2018-10-01
111,1415183,House,37000000,Rawalpindi,Punjab,33.550623,73.123112,7,6,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,5445.0,2019,7,2019-07-01
112,1423085,House,37500000,Rawalpindi,Punjab,33.555451,73.138218,7,5,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,5445.0,2019,7,2019-07-01
113,1594906,Flat,4800000,Rawalpindi,Punjab,33.550096,73.123815,1,1,2019-06-20,Mughal Estate & Builders,Mughal,10345.538,2019,6,2019-06-01
114,2207932,House,35000000,Rawalpindi,Punjab,33.550408,73.115473,5,5,2019-01-18,Easy Property,Muhammad Junaid CEO  Muhammad Shahid Director,5445.0,2019,1,2019-01-01
115,2253425,Penthouse,25000000,Rawalpindi,Punjab,33.521053,73.107756,4,4,2019-07-16,Easy Property,Muhammad Junaid CEO  Muhammad Shahid Director,2722.51,2019,7,2019-07-01
116,2253437,Flat,7500000,Rawalpindi,Punjab,33.550096,73.123815,2,2,2019-07-16,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,14973.804999999998,2019,7,2019-07-01
117,2350458,House,12800000,Rawalpindi,Punjab,33.495991,73.100195,4,4,2019-07-15,Easy Property,Muhammad Junaid CEO    Muhammad Shahid Director,1905.757,2019,7,2019-07-01
119,2720301,House,22000000,Rawalpindi,Punjab,33.550623,73.123112,6,5,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,2722.51,2019,7,2019-07-01
120,2720314,House,38000000,Rawalpindi,Punjab,33.550623,73.123112,7,6,2019-07-05,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,5445.0,2019,7,2019-07-01
125,2956901,House,30000000,Rawalpindi,Punjab,33.595729,73.134502,8,10,2019-06-13,Musa Enterprises,Adil Yousaf,5445.0,2019,6,2019-06-01
127,3075436,House,40000000,Rawalpindi,Punjab,33.55892,73.118649,8,7,2019-06-20,Mughal Estate & Builders,Mughal,81675.0,2019,6,2019-06-01
129,3304713,House,6000000,Rawalpindi,Punjab,33.498497,73.101182,2,2,2019-07-16,Easy Property,Muhammad Junaid CEO    Muhammad Shahid Director,1361.255,2019,7,2019-07-01
141,823201,House,125000,Rawalpindi,Punjab,33.656924,73.143826,5,5,2018-10-20,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,5445.0,2018,10,2018-10-01
142,919906,Upper Portion,33000,Rawalpindi,Punjab,33.549693,73.130536,3,3,2019-06-21,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,2722.51,2019,6,2019-06-01
143,1078747,House,110000,Rawalpindi,Punjab,33.550408,73.115473,7,6,2019-07-03,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,5445.0,2019,7,2019-07-01
144,1078877,House,60000,Rawalpindi,Punjab,33.549693,73.130536,6,5,2019-07-03,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,2722.51,2019,7,2019-07-01
145,1199301,Upper Portion,50000,Rawalpindi,Punjab,33.531951,73.115215,3,3,2018-10-20,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,5445.0,2018,10,2018-10-01
146,1236447,House,70000,Rawalpindi,Punjab,33.531951,73.115215,5,5,2019-07-10,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,2722.51,2019,7,2019-07-01
147,1304761,Flat,22000,Rawalpindi,Punjab,33.521053,73.107756,2,2,2018-10-20,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,6534.023999999999,2018,10,2018-10-01
150,2407301,Upper Portion,48000,Rawalpindi,Punjab,33.55892,73.118649,4,3,2019-06-21,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,5445.0,2019,6,2019-06-01
156,86575,House,450000000,Karachi,Sindh,24.889395,67.098627,7,6,2019-06-20,Premier Properties,Aamir Motiwala,21780.0,2019,6,2019-06-01
161,1010365,House,32000000,Karachi,Sindh,24.81830902,67.08087802,4,4,2019-06-20,Well Known Properties,Zeeshan Ahmed,1089.004,2019,6,2019-06-01
163,1260475,Flat,16500000,Karachi,Sindh,24.92349243,67.0817337,4,4,2019-06-05,Karachi Real Estate Investment Trust,Feroz,26680.598,2019,6,2019-06-01
164,1631292,House,110000000,Karachi,Sindh,24.805045,67.064323,6,6,2019-05-06,Universal Estate & Builders,Syed Zakir Ali,5445.0,2019,5,2019-05-01
165,1902788,House,12800000,Karachi,Sindh,24.964623,67.168558,6,5,2019-06-14,Property Master,M. Tahir,26136.096,2019,6,2019-06-01
166,2290028,Flat,30000000,Karachi,Sindh,24.937425,67.182856,3,3,2019-06-14,United Real Estate,G Sarwar Gondal,27769.602,2019,6,2019-06-01
167,2290030,Flat,34000000,Karachi,Sindh,24.937425,67.182856,4,3,2019-06-14,United Real Estate,G Sarwar Gondal,31036.614,2019,6,2019-06-01
168,2290031,Flat,29500000,Karachi,Sindh,24.937425,67.182856,0,3,2019-06-14,United Real Estate,Ghulam Sarwar Gondal,31036.614,2019,6,2019-06-01
169,2290032,Flat,30000000,Karachi,Sindh,24.937425,67.182856,0,3,2019-06-14,United Real Estate,G Sarwar Gondal,31036.614,2019,6,2019-06-01
170,2290033,Flat,37500000,Karachi,Sindh,24.937425,67.182856,0,4,2019-06-14,United Real Estate,G Sarwar Gondal,35664.880999999994,2019,6,2019-06-01
171,2478189,Flat,45000000,Karachi,Sindh,24.83566,67.0286,0,3,2019-02-16,Memon Real Estate,Muhammad Aqdas Kamdar,24230.339,2019,2,2019-02-01
173,2733346,Flat,12500000,Karachi,Sindh,24.920535,67.08312,3,3,2019-06-05,Karachi Real Estate Investment Trust,Feroz,20691.076,2019,6,2019-06-01
177,2860713,Flat,28000000,Karachi,Sindh,24.937425,67.182856,3,3,2019-06-14,United Real Estate,FahadGhulam Sarwar Gondal,31036.614,2019,6,2019-06-01
178,2860714,Flat,32500000,Karachi,Sindh,24.937425,67.182856,3,3,2019-06-14,United Real Estate,Ghulam Sarwar Gondal,31036.614,2019,6,2019-06-01
179,2860715,Flat,40000000,Karachi,Sindh,24.937425,67.182856,4,4,2019-06-14,United Real Estate,Ghulam Sarwar Gondal,35937.132,2019,6,2019-06-01
180,3011860,House,59500000,Karachi,Sindh,24.956491,67.219341,5,5,2019-06-05,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",3811.514,2019,6,2019-06-01
181,3011866,House,71500000,Karachi,Sindh,24.956491,67.219341,5,5,2019-06-05,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",5445.0,2019,6,2019-06-01
182,3011868,House,55000000,Karachi,Sindh,24.956491,67.219341,4,4,2019-05-06,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",3811.514,2019,5,2019-05-01
183,3011910,House,59500000,Karachi,Sindh,24.956491,67.219341,6,5,2019-06-05,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",3811.514,2019,6,2019-06-01
184,3011916,House,68500000,Karachi,Sindh,24.956491,67.219341,5,5,2019-06-05,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",5445.0,2019,6,2019-06-01
185,3011918,House,58500000,Karachi,Sindh,24.956491,67.219341,5,4,2019-06-05,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",3811.514,2019,6,2019-06-01
186,3012199,House,67000000,Karachi,Sindh,24.956491,67.219341,5,5,2019-06-05,Vigilant Property Solutions,Group Captain Rana Farooq R Kashif Khan,5445.0,2019,6,2019-06-01
187,3023562,House,120000000,Karachi,Sindh,24.865828,67.088388,5,5,2019-06-05,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",5445.0,2019,6,2019-06-01
188,3083937,House,58500000,Karachi,Sindh,24.956491,67.219341,5,4,2019-06-20,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",3811.514,2019,6,2019-06-01
189,3083938,House,58000000,Karachi,Sindh,24.956491,67.219341,5,4,2019-06-20,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",3811.514,2019,6,2019-06-01
190,3084030,House,110000000,Karachi,Sindh,24.865828,67.088388,5,5,2019-06-29,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",5445.0,2019,6,2019-06-01
191,3084031,House,119000000,Karachi,Sindh,24.865828,67.088388,5,5,2019-06-29,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",5445.0,2019,6,2019-06-01
192,3084032,House,115000000,Karachi,Sindh,24.865828,67.088388,0,5,2019-06-20,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",5445.0,2019,6,2019-06-01
193,3084036,House,59500000,Karachi,Sindh,24.956491,67.219341,5,4,2019-06-20,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",3811.514,2019,6,2019-06-01
195,3111513,Flat,7550000,Karachi,Sindh,24.820393,67.0468,2,2,2019-03-18,Patel Builders,Muhammad Waqar,14157.052,2019,3,2019-03-01
198,3478944,Flat,6900000,Karachi,Sindh,24.969194,67.134492,3,4,2019-06-05,Estate 1. com,Zikru Ur Rehman,16607.310999999998,2019,6,2019-06-01
201,3516247,House,72500000,Karachi,Sindh,24.910435,67.090523,0,0,2019-03-10,Guide Line Real Estate,Kaleem Zafar Raja,65340.0,2019,3,2019-03-01
202,3531574,House,85000000,Karachi,Sindh,24.910435,67.090523,6,6,2019-03-10,Guide Line Real Estate,Kaleem Zafar Raja,5445.0,2019,3,2019-03-01
203,3548408,House,60000000,Karachi,Sindh,24.899565,67.081322,4,4,2019-02-17,Guide Line Real Estate,Kaleem Zafar Raja,26408.347,2019,2,2019-02-01
204,3548450,House,120000000,Karachi,Sindh,24.90628,67.086254,6,6,2019-02-17,Guide Line Real Estate,Kaleem Zafar Raja,65340.0,2019,2,2019-02-01
205,3594284,Flat,45000000,Karachi,Sindh,24.782215,67.074537,4,3,2019-06-30,Khatwani Estate,Ajay Khatwani,26408.347,2019,6,2019-06-01
206,3594294,Flat,35000000,Karachi,Sindh,24.782215,67.074537,3,2,2019-06-30,Khatwani Estate,Ajay Khatwani,24774.841,2019,6,2019-06-01
207,3594297,Flat,25000000,Karachi,Sindh,24.752502,67.074019,1,1,2019-06-30,Khatwani Estate,Ajay Khatwani,1633.506,2019,6,2019-06-01
208,523420,House,200000,Karachi,Sindh,24.821639,67.071691,0,6,2019-07-18,Entrepreneur Real Estate,Shahid Abbasi,65340.0,2019,7,2019-07-01
209,530579,House,230000,Karachi,Sindh,24.811562,67.043072,0,6,2019-07-18,Entrepreneur Real Estate,Shahid Abbasi,10890.0,2019,7,2019-07-01
213,3012382,House,85000,Karachi,Sindh,24.956491,67.219341,0,4,2019-04-19,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",3811.514,2019,4,2019-04-01
214,3012383,House,110000,Karachi,Sindh,24.956491,67.219341,0,5,2019-04-19,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",5445.0,2019,4,2019-04-01
215,3083340,House,130000,Karachi,Sindh,24.956491,67.219341,5,5,2019-04-19,Vigilant Property Solutions,"Group Captain Rana Farooq (R), Kashif Khan",5445.0,2019,4,2019-04-01
218,3307273,House,105000,Karachi,Sindh,24.956491,67.219341,5,5,2019-06-20,Vigilant Property Solutions,Group Captain Rana Farooq R Kashif Khan,5445.0,2019,6,2019-06-01
219,3331342,Flat,65000,Karachi,Sindh,24.803643,67.074094,3,3,2019-07-15,Shah Zain Associates,Rizwan Ahmed,21235.578,2019,7,2019-07-01
220,3516080,Lower Portion,150000,Karachi,Sindh,24.899672,67.094536,3,3,2019-07-18,Guide Line Real Estate,Kaleem Zafar Raja,4356.016,2019,7,2019-07-01
222,3728542,Flat,2500000,Islamabad,Islamabad Capital,33.659746,72.860341,0,0,2019-02-04,Property Panel,Abdul Hameed.,5989.521999999999,2019,2,2019-02-01
226,4227904,House,14000000,Islamabad,Islamabad Capital,33.631987,72.880297,6,4,2019-06-27,Al Karam Property,Mian Muhammad Hafeez,1905.757,2019,6,2019-06-01
228,4358106,House,32500000,Islamabad,Islamabad Capital,33.579034,73.139591,9,7,2019-06-19,National Property Advisor,CH ALI,3267.012,2019,6,2019-06-01
230,4590970,House,30000000,Islamabad,Islamabad Capital,33.695973,73.215615,7,6,2019-06-12,Kings & Queens,Kaiwan Anwar,2722.51,2019,6,2019-06-01
231,4801631,House,21000000,Islamabad,Islamabad Capital,33.55083727,73.10628891,6,5,2019-02-04,Al-Ghous Real Estate Management & Construction,Muhammad Nasir,2722.51,2019,2,2019-02-01
232,4858041,Flat,8000000,Islamabad,Islamabad Capital,33.692638,73.218813,2,2,2019-06-26,Top Line Real Estate Consultants,Suhaib Awan,16607.310999999998,2019,6,2019-06-01
238,4265420,House,250000,Islamabad,Islamabad Capital,33.683532,72.99041,8,8,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
239,4270961,House,220000,Islamabad,Islamabad Capital,33.691531,73.005431,6,6,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
240,4273721,Upper Portion,40000,Islamabad,Islamabad Capital,33.692638,73.218813,3,3,2019-07-02,MB Estate & Builders,Ch Mumtaz,2722.51,2019,7,2019-07-01
241,4295448,Upper Portion,80000,Islamabad,Islamabad Capital,33.690353,73.010416,3,3,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
242,4317742,House,300000,Islamabad,Islamabad Capital,33.683532,72.99041,9,9,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
243,4317790,House,160000,Islamabad,Islamabad Capital,33.691531,73.005431,7,7,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
244,4317806,House,240000,Islamabad,Islamabad Capital,33.691531,73.005431,5,5,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
245,4317826,House,280000,Islamabad,Islamabad Capital,33.691531,73.005431,6,6,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
246,4317897,House,220000,Islamabad,Islamabad Capital,33.691531,73.005431,8,8,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
247,4336284,House,190000,Islamabad,Islamabad Capital,33.691531,73.005431,6,6,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
248,4336352,Upper Portion,130000,Islamabad,Islamabad Capital,33.683532,72.99041,4,4,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,70785.0,2019,7,2019-07-01
249,4336361,Upper Portion,75000,Islamabad,Islamabad Capital,33.683532,72.99041,3,3,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
250,4336388,House,350000,Islamabad,Islamabad Capital,33.683532,72.99041,6,6,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,10890.0,2019,7,2019-07-01
251,4336407,House,160000,Islamabad,Islamabad Capital,33.683532,72.99041,5,5,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
252,4336415,Lower Portion,110000,Islamabad,Islamabad Capital,33.683532,72.99041,3,3,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,70785.0,2019,7,2019-07-01
253,4336423,House,190000,Islamabad,Islamabad Capital,33.683532,72.99041,5,5,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
254,4336482,House,180000,Islamabad,Islamabad Capital,33.683532,72.99041,6,6,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
255,4336493,House,170000,Islamabad,Islamabad Capital,33.683532,72.99041,7,7,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
256,4366201,Lower Portion,100000,Islamabad,Islamabad Capital,33.683532,72.99041,3,3,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,70785.0,2019,7,2019-07-01
257,4366275,House,350000,Islamabad,Islamabad Capital,33.683532,72.99041,8,8,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,10890.0,2019,7,2019-07-01
258,4372371,Upper Portion,130000,Islamabad,Islamabad Capital,33.713131,73.038383,2,2,2019-05-05,Property Connect,Muhammad Naseer,5445.0,2019,5,2019-05-01
259,4387768,House,250000,Islamabad,Islamabad Capital,33.691531,73.005431,7,7,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
260,4606306,Flat,17000,Islamabad,Islamabad Capital,33.536959,73.175418,1,2,2019-05-05,H. A Estate & Builders,Rizwan,1089.004,2019,5,2019-05-01
261,4638791,House,110000,Islamabad,Islamabad Capital,33.683532,72.99041,4,4,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,25319.343,2019,7,2019-07-01
262,4638846,Upper Portion,80000,Islamabad,Islamabad Capital,33.683532,72.99041,3,3,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,70785.0,2019,7,2019-07-01
263,4662336,House,110000,Islamabad,Islamabad Capital,33.698137,72.978215,6,6,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,27497.351,2019,7,2019-07-01
264,4896334,Upper Portion,75000,Islamabad,Islamabad Capital,33.679211,72.988787,3,3,2019-07-11,Farhan Real Estate,Azmat Ullah Qureshi,5445.0,2019,7,2019-07-01
