,property_id,property_type,price,city,province_name,latitude,longitude,baths,bedrooms,date_added,agency,agent,Total_Area,year,month,date
158807,17306884,House,4000000,Lahore,Punjab,31.431593,74.179974,0,2,2019-07-16,Kingsforth Real Estate,Hafiz Waqas Ahmed,816.7529999999999,2019,7,2019-07-01
158808,17306885,House,4500000,Lahore,Punjab,31.548287,74.407187,0,3,2019-07-16,Kingsforth Real Estate,Hafiz Waqas Ahmed,9528.785,2019,7,2019-07-01
158809,17306886,House,5500000,Lahore,Punjab,31.585176,74.499197,0,3,2019-07-16,Kingsforth Real Estate,Hafiz Waqas Ahmed,9528.785,2019,7,2019-07-01
158810,17306887,House,4500000,Lahore,Punjab,31.590394,74.467811,0,3,2019-07-16,Kingsforth Real Estate,Hafiz Waqas Ahmed,816.7529999999999,2019,7,2019-07-01
158811,17306894,House,12000000,Lahore,Punjab,31.581899,74.463515,4,4,2019-07-17,Khan Property Point,Shamro Khan,1361.255,2019,7,2019-07-01
158812,17306904,House,8500000,Lahore,Punjab,31.581899,74.463515,4,4,2019-07-17,Khan Property Point,Shamro Khan,1361.255,2019,7,2019-07-01
158813,17306911,House,18500000,Lahore,Punjab,31.458979,74.373565,5,4,2019-07-17,MashAllah Associates & Builders,Muhammad Imran,2722.51,2019,7,2019-07-01
158814,17306913,House,19500000,Lahore,Punjab,31.458979,74.373565,5,4,2019-07-17,MashAllah Associates & Builders,Muhammad Imran,2722.51,2019,7,2019-07-01
158815,17306918,House,12000000,Lahore,Punjab,31.458979,74.373565,4,3,2019-07-17,MashAllah Associates & Builders,Muhammad Imran,1361.255,2019,7,2019-07-01
158816,17306943,House,21000000,Lahore,Punjab,31.317861,74.21814,4,4,2019-07-17,Athar Associates & Real Estate (Bahria Orchard),Zeeshan,5445.0,2019,7,2019-07-01
158817,17306965,House,9500000,Lahore,Punjab,31.581899,74.463515,4,4,2019-07-17,Khan Property Point,Shamro Khan,1361.255,2019,7,2019-07-01
158818,17307007,House,16000000,Lahore,Punjab,31.581899,74.463515,5,5,2019-07-17,Khan Property Point,Shamro Khan,2722.51,2019,7,2019-07-01
